Date,signal,Fast_SMA,Slow_SMA,positions,Buy
2016-01-14,1.0,112.05749999999999,111.82444433333333,1.0,Buy
2016-03-03,1.0,94.66250149999999,94.04058841176467,1.0,Buy
2016-05-27,1.0,96.45374962499994,95.30558802941171,1.0,Buy
2016-07-13,1.0,96.05124937499995,95.64294114705882,1.0,Buy
2016-08-04,1.0,92.60250099999996,92.4391178823529,1.0,Buy
2016-10-03,1.0,97.34125037499999,97.23676499999999,1.0,Buy
2016-12-09,1.0,121.28374962499998,120.53088238235293,1.0,Buy
2017-03-15,1.0,142.13375075,142.0347069705882,1.0,Buy
2017-04-25,1.0,144.1662485,144.05235291176464,1.0,Buy
2017-07-18,1.0,160.06999975000002,156.67382367647056,1.0,Buy
2017-09-11,1.0,176.88375262500014,175.1488229999999,1.0,Buy
2018-01-02,1.0,190.89000312500025,190.65117691176465,1.0,Buy
2018-04-18,1.0,311.36624912500037,308.33647241176453,1.0,Buy
2018-08-30,1.0,356.5675010000001,351.47588205882323,1.0,Buy
2019-01-07,1.0,273.09375187499995,270.96794129411734,1.0,Buy
2019-04-23,1.0,362.68000025000003,362.1991162941174,1.0,Buy
2019-06-24,1.0,357.48499675000005,354.67088138235266,1.0,Buy
2019-10-17,1.0,281.383751,280.4923517941174,1.0,Buy
2019-10-30,1.0,277.3562467500001,276.86617505882316,1.0,Buy
2020-04-01,1.0,361.32874675000005,359.6355859705877,1.0,Buy
2020-06-18,1.0,433.9287491249999,431.3508821470583,1.0,Buy
