Date,signal,Fast_SMA,Slow_SMA,positions,Buy
2016-01-29,1.0,99.571249875,98.98210615789473,1.0,Buy
2016-04-29,1.0,112.31000025,112.18088182352939,1.0,Buy
2016-07-12,1.0,116.03249924999999,115.98117623529411,1.0,Buy
2016-12-20,1.0,119.59249887500003,119.52117588235288,1.0,Buy
2017-01-09,1.0,119.10625075000002,118.95852914705875,1.0,Buy
2017-06-21,1.0,151.10499950000002,150.76353052941167,1.0,Buy
2017-07-12,1.0,152.20999899999998,152.0711768529411,1.0,Buy
2017-10-09,1.0,170.4274997499999,170.15382426470575,1.0,Buy
2017-12-18,1.0,179.1037501249999,178.88176502941167,1.0,Buy
2018-01-03,1.0,178.59124937499993,178.55999976470576,1.0,Buy
2018-03-13,1.0,181.83999837499982,181.75882282352936,1.0,Buy
2018-04-27,1.0,166.71375074999986,166.09647005882346,1.0,Buy
2018-12-18,1.0,142.3462506249999,142.05235297058815,1.0,Buy
2019-01-10,1.0,138.1837482499999,137.26029302941163,1.0,Buy
2019-03-29,1.0,165.99249824999987,165.78764561764706,1.0,Buy
2019-06-20,1.0,183.30374912499985,182.08823523529404,1.0,Buy
2019-09-11,1.0,187.12624912499987,186.9988228235294,1.0,Buy
2019-10-18,1.0,185.2537516249999,184.2470594705881,1.0,Buy
2020-04-15,1.0,170.99499887499974,168.0711763529411,1.0,Buy
2020-07-09,1.0,235.98750112499974,233.04117626470583,1.0,Buy
2020-08-03,1.0,237.54375074999967,237.51411749999988,1.0,Buy
