Date,signal,Fast_SMA,Slow_SMA,positions,Sell
2016-01-19,0.0,110.3812495,110.75909081818182,-1.0,Sell
2016-04-25,0.0,100.73499974999994,101.39147050000001,-1.0,Sell
2016-06-20,0.0,94.59874999999997,94.74088194117644,-1.0,Sell
2016-07-21,0.0,93.41999912499996,93.97588208823528,-1.0,Sell
2016-09-27,0.0,96.75874999999998,96.83647064705882,-1.0,Sell
2016-11-18,0.0,115.59874899999998,115.79941170588235,-1.0,Sell
2017-03-08,0.0,141.31875037499998,141.465589617647,-1.0,Sell
2017-04-20,0.0,143.31250012499996,143.5714703529411,-1.0,Sell
2017-06-15,0.0,157.85124975000005,158.6155884999999,-1.0,Sell
2017-08-18,0.0,169.8037471250001,171.45058758823524,-1.0,Sell
2017-11-16,0.0,194.5837497500002,194.94823499999995,-1.0,Sell
2018-04-03,0.0,296.7200048750003,300.10647135294096,-1.0,Sell
2018-07-20,0.0,388.5400010000003,389.5626490588233,-1.0,Sell
2018-10-10,0.0,360.16500100000013,362.03735173529384,-1.0,Sell
2019-04-16,0.0,360.331249125,360.62382226470567,-1.0,Sell
2019-05-14,0.0,364.14875025,365.4311756764705,-1.0,Sell
2019-07-19,0.0,358.63624937500003,360.87646932352914,-1.0,Sell
2019-10-28,0.0,276.854995625,276.9976447941173,-1.0,Sell
2020-03-12,0.0,358.7625007500001,365.808235558823,-1.0,Sell
2020-06-01,0.0,425.87375624999993,429.2826474999996,-1.0,Sell
2020-08-13,0.0,490.333748,492.74823638235233,-1.0,Sell
