Date,Open,High,Low,Close,Adj Close,Volume,Prediction,signal,Fast_MA,Slow_MA,positions,Buy,signal,Fast_MA,Slow_MA,positions,Sell
2016-01-04,102.610001,105.370003,102.0,105.349998,97.772148,67649400,98.120003,,,,,,,,,,
2016-01-05,105.75,105.849998,102.410004,102.709999,95.322052,55791000,96.260002,,,,,,,,,,
2016-01-06,100.559998,102.370003,99.870003,100.699997,93.456642,68457400,96.040001,,,,,,,,,,
2016-01-07,98.68,100.129997,96.43,96.449997,89.51232900000001,81094400,96.879997,,,,,,,,,,
2016-01-08,98.550003,99.110001,96.760002,96.959999,89.98563399999999,70798000,94.690002,,,,,,,,,,
2016-01-11,98.970001,99.059998,97.339996,98.529999,91.44270300000001,49739400,96.099998,,,,,,,,,,
2016-01-12,100.550003,100.690002,98.839996,99.959999,92.769859,49154200,96.760002,,,,,,,,,,
2016-01-13,100.32,101.190002,97.300003,97.389999,90.384712,62439600,96.910004,,,,,,,,,,
2016-01-14,97.959999,100.480003,95.739998,99.519997,92.36148100000001,63170100,96.690002,,,,,,,,,,
2016-01-15,96.199997,97.709999,95.360001,97.129997,90.143433,79833900,100.529999,,,,,,,,,,
2016-01-19,98.410004,98.650002,95.5,96.660004,89.707237,53087700,100.75,,,,,,,,,,
2016-01-20,95.099998,98.190002,93.41999799999999,96.790001,89.827881,72334400,101.5,,,,,,,,,,
2016-01-21,97.059998,97.879997,94.940002,96.300003,89.37312299999999,52161500,103.010002,,,,,,,,,,
2016-01-22,98.629997,101.459999,98.370003,101.41999799999999,94.12484,65800500,101.870003,,,,,,,,,,
2016-01-25,101.519997,101.529999,99.209999,99.440002,92.28726999999999,51794500,101.029999,,,,,,,,,,
2016-01-26,99.93,100.879997,98.07,99.989998,92.79770699999999,75077000,101.120003,,,,,,,,,,
2016-01-27,96.040001,96.629997,93.339996,93.41999799999999,86.700294,133369700,101.16999799999999,,,,,,,,,,
2016-01-28,93.790001,94.519997,92.389999,94.089996,87.322075,55678800,102.260002,,,,,,,,,,
2016-01-29,94.790001,97.339996,94.349998,97.339996,90.33830999999999,64416500,102.519997,,,,,,,,,,
2016-02-01,96.470001,96.709999,95.400002,96.43,89.493767,40943500,104.58000200000001,,,,,,,,,,
2016-02-02,95.41999799999999,96.040001,94.279999,94.480003,87.684044,37357200,105.970001,,,,,,,,,,
2016-02-03,95.0,96.839996,94.08000200000001,96.349998,89.41954799999999,45964300,105.800003,,,,,,,,,,
2016-02-04,95.860001,97.33000200000001,95.190002,96.599998,90.13801600000001,46471700,105.91999799999999,,,,,,,,,,
2016-02-05,96.519997,96.91999799999999,93.690002,94.019997,87.730598,46418100,105.910004,,,,,,,,,,
2016-02-08,93.129997,95.699997,93.040001,95.010002,88.654388,54021400,106.720001,,,,,,,,,,
2016-02-09,94.290001,95.940002,93.93,94.989998,88.635727,44331200,106.129997,,,,,,,,,,
2016-02-10,95.91999799999999,96.349998,94.099998,94.269997,87.96386700000001,42343600,105.66999799999999,,,,,,,,,,
2016-02-11,93.790001,94.720001,92.589996,93.699997,87.431999,50074700,105.190002,,,,,,,,,,
2016-02-12,94.190002,94.5,93.010002,93.989998,87.70259899999999,40351400,107.68,,,,,,,,,,
2016-02-16,95.019997,96.849998,94.610001,96.639999,90.17534599999999,49057900,109.559998,,,,,,,,,,
2016-02-17,96.66999799999999,98.209999,96.150002,98.120003,91.556351,44863200,108.989998,,,,,,,,,,
2016-02-18,98.839996,98.889999,96.089996,96.260002,89.820747,39021000,109.989998,,,,,,,,,,
